X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1449427.99985605,552269.9999834,829,829,20171112-2212-01,22,Male,Black,Cleared by Arrest,,Handgun,1500 WADDELL ST,1449428,552270,35.253411,-80.84434,Metro,311,2017/11/21 00:00:00+00,Drugs,1,2,,2017,11,2017/11/12 00:00:00+00
1477842.00011456,517837.999949887,830,830,20171104-0340-00,18,Male,Black,Cleared by Arrest,,Firearm,1800 VILLAGE LAKE DR,1477842,517838,35.16023,-80.747148,Independence,248,2017/12/07 00:00:00+00,Argument,6,4,,2017,11,2017/11/04 00:00:00+00
1480195.99999972,543604.999924973,831,831,20171024-2314-03,44,Male,White,Cleared by Arrest by Another Agency,,Handgun,3100 AMITY CT,1480196,543605,35.231133,-80.740784,Hickory Grove,167,2018/01/05 00:00:00+00,Robbery,5,4,,2017,10,2017/10/24 00:00:00+00
1430095.0001363,550611.000020564,832,832,20171024-2029-00,27,Male,Black,Cleared by Arrest,,Knife,3000 TIMBERBROOK DR,1430095,550611,35.247849,-80.908981,Freedom,199,2017/10/25 00:00:00+00,Argument,3,2,,2017,10,2017/10/24 00:00:00+00
1468436.99989572,508540.99984315,833,833,20171020-1249-01,23,Female,White,Cleared by Arrest,Intimate Partner,Strangulation,5600 VIA ROMANO DR,1468437,508541,35.13423,-80.778053,Independence,161,2017/10/25 00:00:00+00,Domestic,6,5,,2017,10,2017/10/20 00:00:00+00
1434084.00003231,535991.000061139,834,834,20171012-1540-02,24,Male,Black,Cleared by Arrest,,Handgun,3000 ROMARE BEARDEN DR,1434084,535991,35.207896,-80.894687,Westover,120,2017/10/31 00:00:00+00,Robbery,3,2,,2017,10,2017/10/12 00:00:00+00
1440236.99986538,534472.000146389,835,835,20171009-2205-01,53,Male,Black,Cleared by Arrest,,Handgun,2900 BALTIMORE AV,1440237,534472,35.204043,-80.873996,Westover,30,2017/10/11 00:00:00+00,Argument,3,2,,2017,10,2017/10/09 00:00:00+00
1481085.99986014,552855.000125721,836,836,20171008-2142-01,35,Male,Black,Open,,Firearm,4200 JOHN PENN CR,1481086,552855,35.256588,-80.738347,North Tryon,102,,Argument,5,3,,2017,10,2017/10/08 00:00:00+00
1445080.00002189,577273.999844059,837,837,20171008-0643-02,29,Male,Black,Cleared by Arrest,,Firearm,9200 TRINITY RD,1445080,577274,35.321878,-80.860472,North,260,2018/01/16 00:00:00+00,Other/Unknown,2,2,,2017,10,2017/10/08 00:00:00+00
1445125.99992989,547564.999878973,838,838,20171002-1243-06,21,Male,Black,Cleared by Arrest,,Handgun,1700 W TRADE ST,1445126,547565,35.240265,-80.858453,Metro,347,2017/10/02 00:00:00+00,Drugs,2,2,BEATTIES FORD/ROZZELLES FERRY,2017,10,2017/10/02 00:00:00+00
